Date,RoadID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
14/11/2018,R1,99,93,99,120,107,85,50,38,34,77,69,63,62,87,88,80,41,31,20,51,68,61,79,61
14/11/2018,R2,111,85,85,85,101,115,68,39,50,69,83,73,75,66,77,62,32,47,31,68,73,50,80,59
14/11/2018,R3,112,94,115,97,105,92,77,15,33,72,70,78,70,77,65,87,53,47,44,85,56,70,60,54
14/11/2018,R4,106,85,85,91,102,90,79,36,44,85,69,68,66,78,64,66,46,36,46,82,77,80,80,69
14/11/2018,R5,109,90,115,98,108,88,76,33,20,60,83,80,75,66,84,61,57,33,47,66,50,77,65,60
15/11/2018,R1,85,110,113,100,105,94,65,28,25,70,79,79,70,69,82,72,47,31,20,63,66,50,65,67
15/11/2018,R2,86,93,87,87,105,111,75,29,32,87,87,67,65,72,79,78,54,40,41,61,52,64,79,52
15/11/2018,R3,120,102,107,117,119,97,76,38,32,62,79,61,80,65,87,82,49,33,33,77,79,51,66,78
15/11/2018,R4,119,102,113,119,95,117,74,30,35,79,71,87,68,71,72,69,47,36,26,67,68,62,68,60
15/11/2018,R5,116,95,117,86,91,106,72,19,29,86,77,69,82,64,74,81,39,48,57,76,73,69,54,64
16/11/2018,R1,112,89,104,92,87,104,64,38,32,84,62,75,69,74,74,81,40,57,46,56,54,54,60,52
16/11/2018,R2,119,100,108,105,115,96,53,40,53,86,82,73,87,86,70,84,46,35,42,62,74,64,68,59
16/11/2018,R3,94,104,91,114,103,100,74,38,33,81,63,67,81,68,72,64,48,56,32,57,76,53,63,66
16/11/2018,R4,92,98,109,114,85,107,60,25,37,75,86,68,85,73,71,68,72,25,26,70,61,55,68,76
16/11/2018,R5,104,110,112,98,88,92,75,23,26,68,60,64,71,77,78,87,50,36,34,69,73,57,69,63
17/11/2018,R1,111,106,108,98,113,119,77,30,26,88,60,81,61,88,80,72,46,53,32,63,65,75,70,64
17/11/2018,R2,87,86,96,104,97,114,79,42,48,76,67,85,74,67,71,76,59,56,37,79,64,68,68,51
17/11/2018,R3,107,117,114,98,114,101,76,33,20,77,62,68,60,88,80,61,55,48,58,79,69,73,76,75
17/11/2018,R4,115,116,87,90,107,97,65,19,40,76,78,63,73,66,85,84,51,48,52,67,71,61,77,66
17/11/2018,R5,103,92,119,99,105,93,75,44,38,68,68,84,64,84,74,71,54,40,41,71,77,70,77,61
